"","LME_NUMBER","LME_NAME","xmin","xmax","ymin","ymax","x_centroid","y_centroid","N.P.molar.ratio","icep","icep_n","icep_p"
"1",-99,"Pacific High Seas",-180,180,-59.9999998291983,66.4148455413738,-133.199413047337,-7.66319348239789,NA,NA,NA,NA
"2",-98,"Atlantic High Seas",-97.8882638603079,68.5000003976145,-60.0000000791983,90.0000004906574,-22.1393989118534,22.4895087396362,NA,NA,NA,NA
"3",-97,"Indian High Seas",29.9999995431941,150.000000271012,-55.0000000163537,30.5191630609638,83.1048537287511,-21.4912180110102,NA,NA,NA,NA
"4",-96,"Subantarctic High Seas",-179.999999667638,179.999999667638,-85.4702906995037,-45.0000003924835,-8.79151301040948,-64.3257671984103,NA,NA,NA,NA
"5",1,"East Bering Sea",9.43388748156121,30.2466583250357,53.5924992275598,65.9091567989268,-170.922888780367,57.1585921746313,11.75,-2.95,"-2.71",-0.8
"6",2,"Gulf of Alaska",135.154403686616,165.642501830989,43.7887997486238,62.7122116092374,-139.347007930942,54.0632115843835,11.5,-22.91,"-21.95",-8.55
"7",3,"California Current",-5.35677719076887,12.9374990460792,50.9671984369689,62.0067248995633,-122.505645995444,33.2488814448912,15.53,-7.83,"-7.04",-4.61
"8",5,"Gulf of Mexico",-71.3033218386203,-43.5313186645506,42.682262420545,60.4572601900594,-90.4040383847032,24.9786911251143,18.86,-1.4,"0.32",0.77
"9",6,"Southeast U.S. Continental Shelf",-14.3117456432329,1.8201567367135,43.6021423336006,59.7718200680908,-78.7599793138255,30.4294290662164,30.28,-3.2,"0.46",-2.79
"10",7,"Northeast U.S. Continental Shelf",127.374702453319,142.267807006732,33.8719291691347,53.2728691103903,-70.4235580079587,40.9669452231641,24.42,0.33,"4.85",1.08
"11",8,"Scotian Shelf",143.248266374935,159.020523767169,40.7605476378079,51.1885790505607,-61.4460591388188,45.580287452441,30.6,-7.25,"-0.70",-7.25
"12",9,"Newfoundland-Labrador Shelf",-66.8436965938617,-55.4617156985343,42.2587242125296,48.9057575904333,-55.1265560566073,49.9991832200601,26.88,-0.89,"1.65",-0.54
"13",13,"Humboldt Current",-5.47721432408764,36.2177696231171,30.2638797762232,45.7872200014105,-75.2370009073886,-32.4637033243962,11.47,-19.57,"-19.00",-11.93
"14",14,"Patagonian Shelf",-12.1820125579763,-1.46785259207462,35.9476318358309,44.9008636470944,-61.5957639865447,-46.3316279001902,27.5,-0.81,"1.43",-0.5
"15",20,"Barents Sea",-115.035293578952,-105.717796981597,21.8374710084739,31.9680500034846,35.963235189771,76.3842810438223,15.46,-1.72,"-1.13",-0.51
"16",21,"Norwegian Sea",-97.890289306379,-80.0304946902505,18.1458339694699,30.7358281734138,4.54772951480152,68.448171704719,10.59,-25.49,"-25.02",-14.06
"17",22,"North Sea",42.5086097713363,78.0147476197038,5.98041152927601,30.5191589199753,2.77747919866557,57.3859168180953,29.76,-2.22,"4.80",0.84
"18",23,"Baltic Sea",32.3408317568009,43.4847106472695,12.4686098096831,30.0052680966655,19.7117333727555,58.9223674027633,20.6,-0.47,"0.76",-0.05
"19",24,"Celtic-Biscay Shelf",-179.778182983278,-153.476760864627,17.3985881802574,29.1430740359533,-7.55122313355831,51.6896860395118,21.07,-3.16,"4.91",-1.92
"20",25,"Iberian Coastal",-88.93000786621,-59.4387245174948,7.90500020977174,26.5057792662475,-8.84519980921804,41.0791550011273,14.61,0.03,"0.64",2.41
"21",26,"Mediterranean Sea",103.269700305871,121.086967468015,-2.77277423903126,24.9472198488589,16.7428881813444,37.1125510591608,9.04,2.46,"2.72",6.43
"22",29,"Benguela Current",117.030296325984,128.299575806077,0.814674734890559,14.826939583059,12.4993767247665,-21.2509089857221,21.36,-0.71,"1.32",0.85
"23",30,"Agulhas Current",99.144386291151,105.11499786386,1.45992186029986,13.6060995707924,40.7734529760492,-22.0552505478497,16.55,-3.56,"-2.70",0.01
"24",39,"North Australian Shelf",140.789779662937,158.868408203327,-24.3782196042202,-9.18922042879126,135.20738420459,-12.6062608659514,11.66,-0.68,"-0.56",1.21
"25",42,"Southeast Australian Shelf",150.051773071506,158.601852416582,-36.5425682071464,-20.6848621369932,145.305386545221,-41.0284589885485,18.9,-2.47,"-0.64",-1.06
"26",43,"Southwest Australian Shelf",-53.4811859133846,-37.8560752867144,-35.247383117804,-21.953676223908,124.421372512927,-35.1724509859145,15,0.81,"1.73",1.28
"27",46,"New Zealand Shelf",131.402069091697,154.957977294965,-47.1924209597413,-35.3166694643982,171.851200700394,-40.7747036472131,16.53,-31.9,"-28.65",-14.28
"28",52,"Sea of Okhotsk",-44.3350373662038,8.32707913829228,59.0004408481157,81.7013756283589,148.919183582027,53.7725235638474,12.83,-3.63,"-3.51",-2.69
"29",53,"West Bering Sea",-7.95247287032538,17.0461119582372,62.0052920961089,77.0049608699954,169.455043986007,57.1721843219699,10.38,-24.91,"-24.82",-20.5
"30",59,"Iceland Shelf",-180.000000000079,179.999999999874,50.6745875112776,53.6934692459266,-16.0725636553632,66.3074219192665,11.87,-21.89,"-21.50",-15.97
"31",60,"Faroe Plateau",-180.000000000079,179.999999999874,52.0876427657956,61.5312897175505,-8.0056383024641,61.4950585352395,27.33,-69.73,"-66.56",-69.73
